userId,movieId,rating,timestamp,title,genres
1,1,4,964982703,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,3,4,964981247,Jumanji (1995),Adventure|Children|Fantasy
1,6,4,964982224,Grumpier Old Men (1995),Comedy|Romance
1,47,5,964983815,Waiting to Exhale (1995),Comedy|Drama|Romance
1,50,5,964982931,Father of the Bride Part II (1995),Comedy
1,70,3,964982400,Heat (1995),Action|Crime|Thriller
1,101,5,964980868,Sabrina (1995),Comedy|Romance
1,110,4,964982176,Tom and Huck (1995),Adventure|Children
1,151,5,964984041,Sudden Death (1995),Action
1,157,5,964984100,GoldenEye (1995),Action|Adventure|Thriller
1,163,5,964983650,"American President, The (1995)",Comedy|Drama|Romance
1,216,5,964981208,Dracula: Dead and Loving It (1995),Comedy|Horror
1,223,3,964980985,Balto (1995),Adventure|Animation|Children
1,231,5,964981179,Nixon (1995),Drama
1,235,4,964980908,Cutthroat Island (1995),Action|Adventure|Romance
1,260,5,964981680,Casino (1995),Crime|Drama
1,296,3,964982967,Sense and Sensibility (1995),Drama|Romance
1,316,3,964982310,Four Rooms (1995),Comedy
1,333,5,964981179,Ace Ventura: When Nature Calls (1995),Comedy
1,349,4,964982563,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
1,356,4,964980962,Get Shorty (1995),Comedy|Crime|Thriller
1,362,5,964982588,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
1,367,4,964981710,Assassins (1995),Action|Crime|Thriller
1,423,3,964982363,Powder (1995),Drama|Sci-Fi
1,441,4,964980868,Leaving Las Vegas (1995),Drama|Romance
1,457,5,964981909,Othello (1995),Drama
1,480,4,964982346,Now and Then (1995),Children|Drama
1,500,3,964981208,Persuasion (1995),Drama|Romance
1,527,5,964984002,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
1,543,4,964981179,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
1,552,4,964982653,Dangerous Minds (1995),Drama
1,553,5,964984153,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
1,590,4,964982546,Babe (1995),Children|Drama
1,592,4,964982271,Dead Man Walking (1995),Crime|Drama
1,593,4,964983793,It Takes Two (1995),Children|Comedy
1,596,5,964982838,Clueless (1995),Comedy|Romance
1,608,5,964982931,"Cry, the Beloved Country (1995)",Drama
1,648,3,964982563,Richard III (1995),Drama|War
1,661,5,964982838,Dead Presidents (1995),Action|Crime|Drama
1,673,3,964981775,Restoration (1995),Drama
1,733,4,964982400,Mortal Kombat (1995),Action|Adventure|Fantasy
1,736,3,964982653,To Die For (1995),Comedy|Drama|Thriller
1,780,3,964984086,How to Make an American Quilt (1995),Drama|Romance
1,804,4,964980499,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
1,919,5,964982475,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
1,923,5,964981529,When Night Is Falling (1995),Drama|Romance
1,940,5,964982176,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
1,943,4,964983614,Mighty Aphrodite (1995),Comedy|Drama|Romance
1,954,5,964983219,Lamerica (1994),Adventure|Drama
1,1009,3,964981775,"Big Green, The (1995)",Children|Comedy
1,1023,5,964982681,Georgia (1995),Drama
1,1024,5,964982876,Home for the Holidays (1995),Drama
1,1025,5,964982791,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
1,1029,5,964982855,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
1,1030,3,964982903,Eye for an Eye (1996),Drama|Thriller
1,1031,5,964982653,Mr. Holland's Opus (1995),Drama
1,1032,5,964982791,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
1,1042,4,964981179,Two if by Sea (1996),Comedy|Romance
1,1049,5,964982400,Bio-Dome (1996),Comedy
1,1060,4,964980924,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
1,1073,5,964981680,French Twist (Gazon maudit) (1995),Comedy|Romance
1,1080,5,964981327,Friday (1995),Comedy
1,1089,5,964982951,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
1,1090,4,964984018,Fair Game (1995),Action
1,1092,5,964983484,Kicking and Screaming (1995),Comedy|Drama
1,1097,5,964981680,"Misérables, Les (1995)",Drama|War
1,1127,4,964982513,Bed of Roses (1996),Drama|Romance
1,1136,5,964981327,Big Bully (1996),Comedy|Drama
1,1196,5,964981827,Screamers (1995),Action|Sci-Fi|Thriller
1,1197,5,964981872,Nico Icon (1995),Documentary
1,1198,5,964981827,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
